correct_word,correct_word_similarity,top_minus_correct_similarity,similarity_index
iraq,0.7154659032821655,0.10288000106811523,30
thailand,0.6761505007743835,0.04777461290359497,33
china,0.6811935901641846,0.09661149978637695,47
germany,0.7354730367660522,0.0,0
switzerland,0.7209886908531189,0.07099586725234985,49
egypt,0.7059320211410522,0.07993185520172119,49
australia,0.6967955827713013,0.06392383575439453,49
vietnam,0.7124785780906677,0.08381778001785278,49
cuba,0.7027381062507629,0.07893109321594238,49
finland,0.7353755235671997,0.07461118698120117,49
pakistan,0.6752610206604004,0.07573306560516357,49
afghanistan,0.7424395084381104,0.08516061305999756,15
england,0.46176719665527344,0.12113720178604126,46
spain,0.6172037124633789,0.023214638233184814,5
russia,0.7702749967575073,0.018654704093933105,3
norway,0.7333544492721558,0.059847891330718994,15
canada,0.7475392818450928,0.05325007438659668,49
france,0.7272394895553589,0.0,0
italy,0.7023871541023254,0.0,0
sweden,0.7106529474258423,0.05472135543823242,26
iran,0.7149820327758789,0.06903314590454102,42
japan,0.6942280530929565,0.07092535495758057,49
thailand,0.5413100719451904,0.08987987041473389,49
china,0.5786706209182739,0.03475368022918701,13
germany,0.6247014999389648,0.0,0
switzerland,0.5892307758331299,0.05467045307159424,49
egypt,0.5827969312667847,0.09667003154754639,32
australia,0.5579260587692261,0.07024073600769043,49
vietnam,0.6312341690063477,0.04001021385192871,11
cuba,0.6236755847930908,0.07678693532943726,8
finland,0.6635047197341919,0.023566484451293945,4
pakistan,0.5503004789352417,0.1050451397895813,49
afghanistan,0.6859167814254761,0.018259644508361816,2
england,0.40423697233200073,0.08483195304870605,31
spain,0.44249218702316284,0.11430448293685913,49
russia,0.713301420211792,0.0,0
norway,0.5281088352203369,0.13980388641357422,49
canada,0.5798428058624268,0.08469873666763306,49
france,0.5689032673835754,0.0,0
italy,0.48908090591430664,0.14897501468658447,49
sweden,0.59892737865448,0.009889483451843262,3
iran,0.6425176858901978,0.07748329639434814,2
japan,0.5401389598846436,0.1574307680130005,27
greece,0.6487674713134766,0.0,0
china,0.6587229371070862,0.10376232862472534,49
germany,0.7065091729164124,0.0,0
switzerland,0.7011758089065552,0.07243680953979492,49
egypt,0.6811859607696533,0.07817798852920532,49
australia,0.6729452610015869,0.08485877513885498,49
vietnam,0.6836473941802979,0.09222495555877686,49
cuba,0.6793903112411499,0.07422572374343872,49
finland,0.6914957761764526,0.08130395412445068,49
pakistan,0.6866453886032104,0.07779717445373535,49
afghanistan,0.7071507573127747,0.06715422868728638,10
england,0.6011900901794434,0.06295549869537354,2
spain,0.6492105722427368,0.0,0
russia,0.7382041215896606,0.030778706073760986,3
norway,0.7564676403999329,0.05461782217025757,8
canada,0.6866670250892639,0.08569550514221191,49
france,0.7078979015350342,0.0,0
italy,0.6598025560379028,0.04949158430099487,7
sweden,0.7567700743675232,0.022243201732635498,5
iran,0.7092055082321167,0.06586122512817383,49
japan,0.6830705404281616,0.08729052543640137,49
greece,0.7395908832550049,0.0,0
iraq,0.6679723858833313,0.1219409704208374,49
germany,0.6706250905990601,0.0,0
switzerland,0.5895106792449951,0.05357944965362549,49
egypt,0.6836683750152588,0.037788569927215576,4
australia,0.5553540587425232,0.07475191354751587,49
vietnam,0.578310489654541,0.10025244951248169,49
cuba,0.6127811074256897,0.039231836795806885,11
finland,0.6602376103401184,0.04838383197784424,16
pakistan,0.5671024322509766,0.027190566062927246,12
afghanistan,0.646581768989563,0.046459197998046875,15
england,0.5092383623123169,0.0,0
spain,0.5388591289520264,0.08066225051879883,7
russia,0.6830438375473022,0.0,0
norway,0.5442306995391846,0.13469839096069336,43
canada,0.5868377089500427,0.07966423034667969,49
france,0.5957390069961548,0.025626540184020996,1
italy,0.5739923715591431,0.11141067743301392,19
sweden,0.61918044090271,0.015039324760437012,4
iran,0.6447093486785889,0.021094560623168945,2
japan,0.6788918375968933,0.0,0
greece,0.6770312190055847,0.026111066341400146,2
iraq,0.6775343418121338,0.0012595653533935547,1
thailand,0.5514456033706665,0.05158388614654541,49
switzerland,0.6378030776977539,0.06388169527053833,49
egypt,0.6491274833679199,0.11958718299865723,49
australia,0.6015411019325256,0.09778016805648804,49
vietnam,0.6336621046066284,0.11264824867248535,49
cuba,0.6848686933517456,0.023832380771636963,2
finland,0.7148857712745667,0.021501123905181885,7
pakistan,0.6020321846008301,0.04822981357574463,49
afghanistan,0.6532669067382812,0.090237557888031,35
england,0.6175892353057861,0.0,0
spain,0.634750247001648,0.0,0
russia,0.7589759826660156,0.0,0
norway,0.7155882120132446,0.007294178009033203,3
canada,0.6419076919555664,0.08382183313369751,49
france,0.7670010328292847,0.0,0
italy,0.6616305112838745,0.00011515617370605469,1
sweden,0.7140060663223267,0.03422737121582031,4
iran,0.6551960706710815,0.05967074632644653,24
japan,0.6128185987472534,0.12359380722045898,49
greece,0.739101767539978,0.0,0
iraq,0.6484752297401428,0.10896331071853638,35
thailand,0.6258029937744141,0.05785536766052246,34
china,0.6323354244232178,0.08019435405731201,29
egypt,0.5847152471542358,0.08069121837615967,49
australia,0.5847991704940796,0.09209620952606201,49
vietnam,0.6401663422584534,0.0810055136680603,49
cuba,0.7039979696273804,0.014941811561584473,2
finland,0.6712923049926758,0.050620198249816895,12
pakistan,0.6266399621963501,0.033719778060913086,11
afghanistan,0.6555843353271484,0.05275285243988037,9
england,0.5213816165924072,0.0898553729057312,11
spain,0.5945948362350464,0.0,0
russia,0.7075954675674438,0.0,0
norway,0.7059522867202759,0.0,0
canada,0.6346636414527893,0.08952897787094116,49
france,0.6682673692703247,0.0,0
italy,0.6484194993972778,0.015884816646575928,2
sweden,0.7460110187530518,0.007857561111450195,1
iran,0.6338063478469849,0.08480256795883179,49
japan,0.5820174813270569,0.07213521003723145,49
greece,0.70626300573349,0.0,0
iraq,0.6197505593299866,0.0872531533241272,29
thailand,0.5845188498497009,0.12146824598312378,34
china,0.585742712020874,0.10658740997314453,49
germany,0.7292312383651733,0.0,0
australia,0.5749198198318481,0.05109858512878418,49
vietnam,0.6130785346031189,0.050126075744628906,49
cuba,0.6345213651657104,0.08634406328201294,49
finland,0.6026208996772766,0.08512777090072632,32
pakistan,0.5684984922409058,0.08650583028793335,49
afghanistan,0.7042500972747803,0.06682741641998291,4
england,0.5271595120429993,0.0,0
spain,0.5784076452255249,0.07045286893844604,4
russia,0.7205030918121338,0.0,0
norway,0.5910801291465759,0.1280665397644043,40
canada,0.5958325862884521,0.05571246147155762,49
france,0.6067492961883545,0.031620025634765625,5
italy,0.5655442476272583,0.15067613124847412,49
sweden,0.6450611352920532,0.010585665702819824,1
iran,0.7514828443527222,0.0,0
japan,0.6496787667274475,0.014765262603759766,2
greece,0.6913819313049316,0.0,0
iraq,0.6599030494689941,0.08959269523620605,10
thailand,0.5697332620620728,0.08900690078735352,49
china,0.6612738370895386,0.0,0
germany,0.6438705325126648,0.0,0
switzerland,0.6168584823608398,0.082999587059021,49
vietnam,0.5109169483184814,0.14381110668182373,49
